"Visilabs Settings","Visilabs Settings"
"Visilabs Tagging","Visilabs Tagging"
"General Settings","General Settings"
"<div style='height: 20px;margin-bottom:10px;'> <img style='float:left;' src='http://numerno.com/media/modules/visilabs-logo.png' /></div><br /><br /> Configure your Visilabs platform connection below. If you have any questions or would like any help please visit <a href='http://numerno.com' target='_blank'>numerno.com</a>.","<div style='height: 20px;margin-bottom:10px;'> <img style='float:left;' src='http://numerno.com/media/modules/visilabs-logo.png' /></div><br /><br /> Configure your Visilabs platform connection below. If you have any questions or would like any help please visit <a href='http://numerno.com' target='_blank'>numerno.com</a>."
"Enabled","Enabled"
"Site ID","Site ID"
"Organization ID","Organization ID"
"Enable Channel Tag","Enable Channel Tag"
"You need to specify store channel on store view scope, otherwise store code will be used as channel name.","You need to specify store channel on store view scope, otherwise store code will be used as channel name."
"Store Channel","Store Channel"
"Enable Action Suggestion","Enable Action Suggestion"
"Calling SuggestActions() is needed for pop-up scenarios.","Calling SuggestActions() is needed for pop-up scenarios."
"Customer Identifier Attribute","Customer Identifier Attribute"
"Will be used for exVisitorID parameter","Will be used for exVisitorID parameter"
"Custom Event Parameters for Customer Signup and Login","Custom Event Parameters for Customer Signup and Login"
"Catalog Tagging Settings","Catalog Tagging Settings"
"Enable Catalog Tagging","Enable Catalog Tagging"
"Brand Attribute","Brand Attribute"
"Custom Product Parameters","Custom Product Parameters"
"On Site Search Tagging Settings","On Site Search Tagging Settings"
"Enable On Site Search Tagging","Enable On Site Search Tagging"
"Shopping Cart Tagging Settings","Shopping Cart Tagging Settings"
"Enable Shopping Cart Tagging","Enable Shopping Cart Tagging"
"Custom Cart Parameters","Custom Cart Parameters"
"Purchase Tagging Settings","Purchase Tagging Settings"
"Enable Purchase Tagging","Enable Purchase Tagging"
"Custom Order Parameters","Custom Order Parameters"
"Customer ID (entity_id)","Customer ID (entity_id)"
"Group Name","Group Name"
"Parameter","Parameter"
"Cart Attribute","Cart Attribute"
"Add Parameter","Add Parameter"
"Customer Attribute","Customer Attribute"
"Order Attribute","Order Attribute"
"Product Attribute","Product Attribute"
"Customer Id","Customer Id"
"Customer Email","Customer Email"