"Visilabs Settings","Visilabs Ayarları"
"Visilabs Tagging","Visilabs Etiketleme"
"General Settings","Genel Ayarlar"
"<div style='height: 20px;margin-bottom:10px;'> <img style='float:left;' src='http://numerno.com/media/modules/visilabs-logo.png' /></div><br /><br /> Configure your Visilabs platform connection below. If you have any questions or would like any help please visit <a href='http://numerno.com' target='_blank'>numerno.com</a>.","<div style='height: 20px;margin-bottom:10px;'> <img style='float:left;' src='http://numerno.com/media/modules/visilabs-logo.png' /></div><br /><br /> Visilabs ayarlarınızı aşağıdaki formdan değiştiriniz. Eğer herhangi bir desteğe ihtiyacınız olursa <a href='http://numerno.com' target='_blank'>numerno.com</a>'u ziyaret ediniz."
"Enabled","Etkin"
"Site ID","Site ID"
"Organization ID","Organizasyon ID"
"Enable Channel Tag","Channel Etiketi Kullan"
"You need to specify store channel on store view scope, otherwise store code will be used as channel name.","Channel etiketinizi mağaza görünümü seviyesinde düzenleyebilirsiniz. Channel etiketi belirtilmemişse yerine mağaza kodu kullanılır."
"Store Channel","Mağaza Channel Etiketi"
"Enable Action Suggestion","Pop-up Senaryoları Etkin"
"Calling SuggestActions() is needed for pop-up scenarios.","Pop-up senaryoları etkinleştirildiğinde SuggestActions() fonksiyonu kullanılır."
"Customer Identifier Attribute","Müşteri Ayrıştırıcı Değişken"
"Will be used for exVisitorID parameter","exVisitorID parametresi için kullanılır"
"Custom Event Parameters for Customer Signup and Login","Yeni Üyelik ve Üye Girişi için Özel Müşteri Parametreleri"
"Catalog Tagging Settings","Katalog Etiketleme Ayarları"
"Enable Catalog Tagging","Katalog Etiketleme Etkin"
"Brand Attribute","Marka Değişkeni"
"Custom Product Parameters","Özel Ürün Parametreleri"
"On Site Search Tagging Settings","Site İçi Arama için Etiketleme Ayarları"
"Enable On Site Search Tagging","Site İçi Arama için Etiketleme Etkin"
"Shopping Cart Tagging Settings","Alışveriş Sepeti için Etiketleme Ayarları"
"Enable Shopping Cart Tagging","Alışveriş Sepeti için Etiketleme Etkin"
"Custom Cart Parameters","Özel Alışveriş Sepeti Parametreleri"
"Purchase Tagging Settings","Sipariş Etiketleme Ayarları"
"Enable Purchase Tagging","Sipariş Etiketleme Etkin"
"Custom Order Parameters","Özel Sipariş Parametreleri"
"Customer ID (entity_id)","Müşteri No (entity_id)"
"Group Name","Müşteri Grubu Adı"
"Parameter","Parametre"
"Cart Attribute","Sepet Değişkeni"
"Add Parameter","Parametre Ekle"
"Customer Attribute","Müşteri Değişkeni"
"Order Attribute","Sipariş Değişkeni"
"Product Attribute","Ürün Değişkeni"
"Customer Id","Müşteri No"
"Customer Email","E-posta Adresi"